id,title,price,location,size,size_unit,bedrooms,bathrooms
4068071,شقة للبيع  135 م سيدي بشر (متفرع من طريق الجيش) / p44,"1,100,000",سيدي بشر متفرع من طريق الجيش,135,متر²,3,1
4130142,شقة بأرض الفضالى سيدي بشر قبلي ١٢٥ متر,"975,000",ارض الفضالى سيدي بشر قبلي,125,متر²,3,2
4086942,شقة للبيع في مدينة فيصل,"600,000",مدينة فيصل عمارة  40 الدور 12,85,متر²,2,1
4082045,شقة راقية بكمبوند رائع,"960,000",شارع مصطفي كامل بعد كارفور السيوف,94,متر²,2,1
4132557,شقة للبيع 120 م السرايا (ترى البحر) / 63,"1,850,000",السرايا (ترى البحر),120,متر²,3,1
4124255,سيدى بشر,"3,000,000",سيدى بشر على بحر,140,متر²,2,2
4114238,شقة للبيع دوبلكس في سيدي بشر – 270 م TMZ6502,"3,500,000",سيدي بشر,270,متر²,3,3
4060010,شقة تمليك للبيع سيدي بشر جمال عبد الناصر,"3,200,000",١١ ش الصديق شيبوب أعلى نفق جمال عبد الناصر,260,متر²,4,2
4055004,شقة تمليك سوبر لوكس 110م,"1,200,000",شارع ملازم مجدى ممدوح حيدر سيدى بشر بحرى,110,متر²,2,1
4104639,سيدى بشر شقه للبيع,"1,450,000",سيدي بشر متفرع من الترام,150,متر²,2,2
4104355,سيدى بشر,"2,100,000",سيدي بشر بحرى,165,متر²,3,2
4028143,شقه ٢٤٠ متر بسيدي بشر بحري للبيع,"2,650,000",سيدي بشر بحري,240,متر²,4,2
4093698,شقه للبيع 300م بسيدى بشر العيسوى بالقرب من مارمرقص – مطلات مفتوحه,"3,000,000",بسيدى بشر العيسوى بالقرب من مارمرقس,300,متر²,4,3
4091875,شقه للبيع 220مـتر محمد نجيب علي الـبــحر مـــباشــــر - رخصه,"4,500,000",شقه للبيع 220مـتر محمد نجيب علي الـبــحر مـــباشــــر - رخصه,220,متر²,3,3
4096797,شقة للبيع 110 م سيدي بشر بحري,"1,200,000",سيدي بشر بحري,110,متر²,3,1
4030210,شقق للبيع فى شارع عبد السلام عارف,"950,000",Abd El-Salam Aref St.، Sidi Beshr Bahri,75,متر²,2,1
4101224,سيدى بشر,"1,650,000",سيدى بشر متفرع من شارع العيسوى,140,متر²,3,1
4100333,شقه للبيع 125م بسيدي بشر اول نمره بحر وتري البحر جانبي  بوضوح جداا – لـقـطه رخصه,"1,850,000",شقه للبيع 125م بسيدي بشر اول نمره بحر وتري البحر جانبي  بوضوح جداا – لـقـطه رخصه وبرج شيك,125,متر²,3,1
4041906,شقة للبيع في سيدي بشر بحري - 125 متر - بالقرب من ش محمد نجيب TMZ7196,"1,050,000",سيدي بشر,125,متر²,2,2
4078950,شقة للبيع 125م سيدي بشر (على البحر مباشرة ),"2,500,000",سيدي بشر (على البحر مباشرة ),125,متر²,2,2
3942424,سيدي بشر قبلي أرض الفضالي أمام بوابة شركة ادفينا,"900,000",سيدي بشر قبلي أرض الفضالي أمام بوابة شركة ادفينا,105,متر²,3,2
3973225,شقة للبيع في سيدي بشر ترام -  125 متر - بالقرب من محطة ترام سيدي بشر TMZ7227,"1,850,000",سيدي بشر,150,متر²,2,1
4073320,شقة للبيع في سيدي بشر بحر مباشر - 125 متر - بالقرب من شارع محمد نجيب TMZ7288,"2,500,000",سيدي بشر,125,متر²,2,2
4036519,شقه للبيع ١٠٠متر الدور ال١٢ العماره ١٦ دور سيدي بشر,"700,000",سيدي بشر ش٣٠ ارض الفضالي,100,متر²,2,1
4062471,شقة 150متر للبيع,"2,100,000",شارع خالد بن الوليد، سيدي بشر بحري,150,متر²,1,1
4100184,شقه شيك للبيع 135م علي العيسوي الرئيسي – رخصه ومطلات مفتوحه,"1,700,000",شقه شيك للبيع 135م علي العيسوي الرئيسي – رخصه ومطلات مفتوحه,135,متر²,3,1
4057581,دوبلكس للبيع,"2,500,000",شارع 17، سيدي بشر بحري,300,متر²,1,1
4068010,شقة للبيع  135 م سيدي بشر (متفرع من طريق الجيش) / p44,"1,100,000",متفرع من طريق الجيش,135,متر²,3,1
4048264,شقة للبيع تطل علي البحر مباشر 150م,"3,500,000",طريق الجيش سيدي بشر,150,متر²,3,1
4080431,شقة للبيع 150 م سيدى بشر (شارع خالد بن الوليد- على الترام),"1,600,000",سيدى بشر (شارع خالد بن الوليد- على الترام),150,متر²,3,1
4043314,شقة دوبلكس للبيع 320م سيدى بشر (متفرع من شارع خالد بن الوليد),"3,650,000",سيدى بشر (متفرع من شارع خالد بن الوليد),320,متر²,4,3
4078167,شقة للبيع  150 م سيدي بشر (على البحر مباشرة),"2,500,000",سيدي بشر (على البحر مباشرة),150,متر²,2,2
3991168,شقة للبيع 125 م سيدي بشر (على البحر مباشره),"2,750,000",سيدي بشر,125,متر²,3,2
3999755,شقه للبيع 300م بسيدى بشر العيسوى بالقرب من مارمرقص – مطلات مفتوحه,"3,000,000",بسيدى بشر العيسوى بالقرب من مارمرقص – مطلات مفتوح,300,متر²,4,3
3971133,شقة للبيع 150 م سيدى بشر (ش محمد عوض جبريل),"2,500,000",سيدى بشر شارع محمد عوض جبريل,150,متر²,3,1
3978352,شقة للبيع 155 م سيدى بشر (ش محمد عوض جبريل - خطوات من البحر),"2,500,000",سيدى بشر شارع محمد عوض جبريل خطوات من البحر,155,متر²,3,2
3933829,للبيع - شقق 135 متر² لوكس,"2,350,000",سيدى بشر طريق الجيش,135,متر²,3,1
3830193,شقة للبيع 120 م سيدي بشر (ش خالد بن الوليد - 3 نمره من البحر),"1,900,000",سيدي بشر (ش خالد بن الوليد - 3 نمره من البحر),120,متر²,3,2
3991482,شقة للبيع 125 م سيدي بشر (على البحر مباشره),"2,750,000",على البحر مباشره,125,متر²,2,2
3980415,شقة للبيع 300 م سيدي بشر (متفرع من البحر),"4,500,000",سيدي بشر متفرع من البحر,300,متر²,3,3
3934221,شقة للبيع في ميامي 200 م - خطوات من شارع جمال عبد الناصر و دقائق من البحر TMZ688,"2,050,000",سيدي بشر,200,متر²,2,1
3946287,شقه للبيع  155 م السرايا  ( 3 نمرة من  بحر شارع علي هيبة ),"2,100,000",El Gaish Road، Sidi Bishr,155,متر²,3,2
3827573,شقة دوبلكس للبيع 360 م سيدي بشر(متفرع من ش خالد بن الوليد),"3,200,000",سيدي بشر(متفرع من ش خالد بن الوليد),360,متر²,4,1
3897554,شقة للبيع  165 م سيدي بشر ( سيدى بشر الترام  ),"2,250,000",سيدي بشر ( سيدى بشر الترام  ),165,متر²,3,1
4007728,شقة للبيع 150 م سيدى بشر (ش العيسوى الرئيسي ),"1,800,000",سيدى بشر (ش العيسوى الرئيسي ),150,متر²,3,2
3879450,شقة للبيع 165 م سيدي بشر (ش خالد بن الوليد),"1,550,000",ش خالد بن الوليد,165,متر²,3,2
3856491,شقه للبيع بالاسكندريه  بارقى مناطق الاسكندريه  سيدى بشر  بحر مباشر,"2,300,000",سيدى بشر,105,متر²,2,1
3821228,للبيع شقة بسيدي بشر 240م,"1,600,000",Street 1، Sidi Beshr Qebli,240,متر²,3,2
3993844,شقه للبيع بسيدى بشر السرايا بحر مباشر 189م,"4,500,000",سيدى بشر السرايا,189,متر²,3,2
3991714,أمتلك وحدتك بالاسكندريه علي البحر مباشر 200 م,"4,500,000",أمتلك وحدتك بالاسكندريه علي البحر مباشر 200 م,200,متر²,3,2
3957395,شقة للبيع 135 م سيدى بشر (ش العيسوى ),"2,000,000",سيدى بشر (ش العيسوى ),135,متر²,2,1
3957849,شقة للبيع  240 م السرايا ( ش خالد ابن الوليد الرئيسي  ),"3,000,000",السرايا ( ش خالد ابن الوليد الرئيسي  ),240,متر²,3,3
4008068,شقه للبيع 125م بسيدي بشر تاني نمره بحر وتري البحر بوضوح جداا –رخصه وبرج شيك,"1,800,000",سيدى بشر,125,متر²,3,1
3826703,من المالك مباشرة فقط لمحبي المساحات الواسعة على شارع رئيسي شقة ٢٠٠ متر,"2,300,000",شارع جمال عبد الناصر الرئيسي ، سيدي بشر بحري,200,متر²,2,2
3927607,شقه للبيع 165م بسيدى بشر العيسوى الرئيسي –رخصه –برج شيك,"2,200,000",بسيدى بشر العيسوى الرئيسي –رخصه –برج شيك,165,متر²,3,2
3821275,شقق للبيع فى شارع خالد بن الوليد,"1,750,000",Khaled Ibn Al Walid، Sidi Beshr Bahri,100,متر²,2,1
3845567,شقة للبيع -aa سيدي بشر - مساحة 130متر,"1,700,000",شقق للبيع بالاسكندريه aa سيدي بشر - مساحة 130متر,130,متر²,3,1
3727191,شقق للبيع فى شارع جمال عبد الناصر,"2,300,000",شارع جمال عبد الناصر، سيدي بشر,200,متر²,3,2
4099129,شقة في الطفولة السعيدة في الميزان سكني و تجاري,"700,000",ش ٣٩ خلف شارع علي هيبة,120,متر²,2,1
3981171,شقة للبيع100م  شارع الحزب تالت نمرة من البحر,"1,300,000",محمد نجيب شارع الحزب تالت نمرة من البحر,100,متر²,2,1
3981215,شقة للبيع100م  شارع الحزب تالت نمرة من البحر,"1,000,000",محمد نجيب شارع الحزب تالت نمرة من البحر,100,متر²,2,1
4017946,شقة دوبلكس للبيع 360 م سيدي بشر ( خطوات من البحر ),"3,100,000",سيدي بشر خطوات من البحر,360,متر²,4,3
4016487,شقه للبيع 125م بسيدي بشر تاني نمره بحر وتري البحر بوضوح جداا –رخصه وبرج شيك,"1,800,000",شقه للبيع 125م بسيدي بشر تاني نمره بحر وتري البحر بوضوح جداا –رخصه وبرج شيك,125,متر²,3,1
3996331,شقه للبيع بسيدى بشر العيسوى الرئيسي 165م  -رخصه,"2,200,000",سيدى بشر العيسوى الرئيسي,165,متر²,3,2
4041835,شقه للبيع 125م بسيدي بشر اول نمره بحر وتري البحر بوضوح جداا,"1,850,000","طريق الجيش, سيدي بشر",125,متر²,3,1
3976611,شقة للبيع 206م سيدي بشر (مسجد سيدي بشر),"2,300,000",سيدي بشر (مسجد سيدي بشر),206,متر²,3,2
4129366,شقة للبيع  في وسط جميع الخدمات و المواصلات,"1,950,000",سيدي بشر - دقيقة من عبد الناصر و دوران جيهان  مميزات الشقه - خليل حمادة الرئيسي,120,متر²,3,1
3935439,شقه للبيع 125م بسيدى بشر متفرع من العيسوى,"1,200,000",سيدى بشر متفرع من العيسوى,125,متر²,3,1
3845815,شقة للبيع فى سيدى بشر (ش مسجد سيدى بشر ),"1,750,000",سيدى بشر,260,متر²,3,2
3911403,شقه للبيع 105م بسيدى بشر بحر عند نادى السيارات -  رخصه وبرج شيك,"2,300,000",بسيدى بشر بحر عند نادى السيارات -,105,متر²,2,1
3906234,للبيع شقه 105م بسيدى بشر بحر عند نادى السيارات -  رخصه وبرج شيك,"2,300,000",سيدى بشر بحر عند نادى السيارات,105,متر²,2,1
3822887,شقة للبيع 165 م سيدي بشر(متفرع من ش خالد بن الوليد),"1,800,000",سيدي بشر(متفرع من ش خالد بن الوليد),165,متر²,3,2
3945449,شقه للبيع بسيدى بشر متفرع من العيسوى – شارع عمرو النجومى,"1,200,000",سيدى بشر متفرع من العيسوى – شارع عمرو النجومى,125,متر²,3,1
3856590,شقة للبيع 95 م سيدى بشر (شارع العيسوى مباشرة ),"920,000",سيدى بشر (شارع العيسوى مباشرة ),95,متر²,2,1
3820910,شقق للبيع فى شارع القاهرة,"900,000",Cairo St.، Sidi Beshr Qebli,138,متر²,3,1
4094577,شقة للبيع في سيدي بشر بحري بالقرب من الترام  - 140م TMZ7239,"1,400,000",سيدي بشر,140,متر²,3,2
4086702,شقة للبيع في سيدي بشر بحري - 170 متر – شارع ملك حفني TMZ7296,"1,100,000",سيدي بشر,170,متر²,4,2
4101024,شقة ١٨٠م دور كامل علي شارعين بناء ٢٠٠٤,"2,350,000",شارع محمود العيسوي، سيدي بشر بحري,180,متر²,3,1
4003992,شقة للبيع 105 م  سيدي بشر ( شارع مصطفي كامل ) بكمبوند سكني متكامل الخدمات,"900,000",شارع مصطفي كامل,105,متر²,2,1
4115394,فرصة .. شقة الاحلام .. بكمبوند مميز باسعار زماااان,"1,050,000",شارع توريل من شارع مصطفى كامل ، ثاني نمره من شارع مصطفى كامل قرب البنك الاهلي سيدي بشر قبلي ،الاسكن,130,متر²,3,1
4101434,شقة ١٨٠م  دور كامل يوسف غالي علي ناصيتين بناء 2004,"2,350,000",16 yousf ghaly street,180,متر²,3,2
4045676,شقه لقطه للبيع 155م سيدى بشر العيسوى الرئيسي – رخصه,"1,850,000",سيدى بشر العيسوى الرئيسي,155,متر²,4,2
4094610,شقة فى سيدى بشر بحرى لقطة ?,"1,500,000",شارع عمرو النجومي، سيدي بشر بحري,115,متر²,1,1
3917458,شقة للبيع في سيدي بشر بحري - 125 متر - بالقرب من ش محمد نجيب TMZ7196,"1,050,000",سيدي بشر,125,متر²,2,2
4082229,شقة راقية بكمبوند رائع,"960,000",شارع مصطفي كامل بعد كارفور السيوف,94,متر²,2,1
4063199,شقق للبيع فى شارع 9,"2,000,000",شارع 9، سيدي بشر قبلي,200,متر²,3,2
3861936,شقة للبيع 165 م سيدى بشر (متفرع من جمال عبد الناصر),"1,500,000",سيدى بشر متفرع من شارع جمال عبد الناصر,165,متر²,4,2
3856510,شقه للبيع بالاسكندريه  بارقى مناطق الاسكندريه  سيدى بشر  بحر مباشر,"3,500,000",سيدى بشر,154,متر²,3,1
3929094,شقة للبيع 95 م سيدى بشر (شارع العيسوى مباشرة ),"850,000",سيدى بشر (شارع العيسوى مباشرة ),95,متر²,2,1
4115591,فيلا تاني نمرة من البحر تتوسط محمد نجيب والبحر وإمتداد خالد بن الوليد,"2,750,000",سيدي بشر متفرع من شارع الجيش,300,متر²,4,3
4088263,محمد نجيب تاني نمره من شارع جمال عبد الناصر سيدي بشر بحري,"900,000",محمد نجيب تاني نمره من شارع جمال عبد الناصر سيدي بشر بحري,90,متر²,3,1
4063300,شقة علي البحر مباشرة في ميدان محمد نجيب,"2,400,000",ابراج الوليد ميدان محمد نجيب شارع خالد ابن الوليد,158,متر²,3,2
3823964,شقه للبيع بين خالد بن الوليد و البكباشي العيسوي,"1,200,000",شقه للبيع بين خالد بن الوليد و البجباشي العيسوي,150,متر²,3,2
4073713,مدينة فيصل الاسكندريه بجانب المسجد الرئيسي للمدينه شقة للبيع,"750,000",مدينة فيصل، سيدي بشر قبلي,93,متر²,2,1
4085150,للبيع شقة ع البحر مباشرة بالتقسيط ٢٠ سنة,"2,850,000",طريق الجيش، سيدي بشر,100,متر²,2,1
4050169,شقق لوكس فى شارع محمد صالح حرب,"1,150,000",على هيبه,125,متر²,3,1
3997836,شقة للبيع بشارع العيسوي,"1,250,000",شارع عمرو النجومي من العيسوي - سيدي بشر,100,متر²,2,1
4063077,شقه للبيع الترا سوبر لوكس بالفرش او بدون,"4,700,000",طريق الجيش، سيدي بشر,220,متر²,1,1
4077294,جمال عبد الناصر خلف ٤٠ سيدى بشر,"650,000",جمال عبد الناضر خلف ٤٠ بحرى السكه,65,متر²,2,1
4100780,شارع الشيخ سيد رمضان موازى شارع محمد نجيب بدايته جمال عيد الناصر و نهايته شارع العيسوى و 3 دقائق للبحر,"1,000,000",شارع محمود العيسوي، سيدي بشر بحري,105,متر²,2,1
4025251,شقة تمليك 110 م سوبر لوكس للبيع موقع متميز جدااا بسيدى بشر بحرى من جمال الناصر,"1,000,000",شارع منصور القاضى سيدى بشر بحرى,110,متر²,2,1
4000837,سيدى بشر - 32 شارع علي عبادي باشا عمارة المثلث - رقم 16 - الدور الربع,"2,650,000",الاسكندريه- سيدى بشر - 32 شارع علي عبادي باشا عمارة المثلث - رقم 16 - الدور الربع,119,متر²,3,1
3839269,شارع القاهره أمام حرحش سيدى بشر قبلى,"800,000",شارع القاهرة، سيدي بشر قبلي,120,متر²,1,1
4014033,شقة 125 م للبيع ، سيدي بشر ش سيف ، 1200000,"1,200,000",شارع سيف، سيدي بشر قبلي,125,متر²,3,2
4100810,شارع ابو بكر الصديق أمام مستشفى جيهان,"850,000",شارع جمال عبد الناصر، سيدي بشر بحري,75,متر²,9,1
4090840,شقة للبيع تاني نمره من العيسوي,"1,180,000",شارع عمرو النجومي -سيدي بشر,100,متر²,2,1
4090546,شقق سوبر لوكس للبيع فى شارع 30,"460,000",شارع 30، سيدي بشر قبلي,70,متر²,2,1
4085148,للبيع شقة ١٠٠ متى ع البحر مباشرة تشطيب فاخر تمويل عقاري,"2,850,000",طريق الجيش، سيدي بشر,100,متر²,2,1
3860394,شقه للبيع فى سيدى بشر قبلى 150 متر,"850,000",سيدى بشر قبلى,150,متر²,2,2
4070050,شقة للبيع في مدينةبنك فيصل,"800,000",سيدي بشر مدينة بنك فيصل,145,متر²,3,1
4049560,محمد نجيب الرئيس,"2,850,000",شارع محمد نجيب، سيدي بشر بحري,240,متر²,3,3
4057805,شقه للبيع فى الاسكندريه,"1,400,000",Khalil Hamada St.، Sidi Beshr Bahri,120,متر²,2,1
4045960,للبيع فى سيدى بشر شقة ترى الترام و البحر.,"1,150,000",شارع على عبادى سيدى بشر,111,متر²,4,1
3802875,فرصة باسعار زماااان لدواعي السفر شقة بكمبوند مميز,"975,000",شارع توريل من شارع مصطفى كامل بجوار البنك الاهلي  ،سيدي بشر قبلي ،قسم المنتزة,130,متر²,3,1
4051839,شقه ٨٥  متر صافي سيدي بشر قبلي سيدى بشر,"600,000",أرض الفضالي، سيدي بشر قبلي,85,متر²,3,1
4067866,شقه شيك للبيع 135م علي العيسوي الرئيسي – رخصه,"1,700,000",علي العيسوي الرئيسي,135,متر²,3,1
4043625,للبيع - شقق 135 متر² super_lux,"1,250,000",شارع منصور القاضي، سيدي بشر,135,متر²,1,1
3958140,سيدى بشر,"2,800,000",سيدى بشر على البحر,150,متر²,2,2
4003714,شقة للبيع 150م السرايا (ثالث نمره من البحر ),"1,800,000",السرايا (ثالث نمره من البحر ),150,متر²,3,2
3985926,سيدى بشر,"850,000",شارع محمد نجيب، سيدي بشر بحري,90,متر²,1,1
3902692,سيدى بشر دوبلكس  شارع الطفولة السعيده,"3,500,000",سيدى بشر,400,متر²,3,4
3898494,شقة للبيع 130 م سيدى بشر ( ش ملك حفنى ),"1,100,000",سيدى بشر شارع ملك حفنى,130,متر²,3,2
3869976,شقة دوبلكس للبيع 270 م سيدي بشر بحري متفرع من خالد ابن الوليد  / 57,"2,300,000",متفرع من خالد ابن الوليد اتجاه سيدي بشر الترام,270,متر²,3,2
3886951,شقة للبيع بسيدى بشر,"500,000",شارع ملك حفني، سيدي بشر,100,متر²,1,1
4001052,شقة للبيع 135 م سيدي بشر (سيدي بشر ترام),"1,400,000",El Gaish Road، Sidi Bishr,135,متر²,3,1
3997176,سيدى بشر,"850,000",سيدى بشر شارع مسجد الدعوه,150,متر²,3,1
3991854,شقه للبيع بسيدى بشر متفرع من العيسوى140م,"1,500,000",شقه للبيع بسيدى بشر متفرع من العيسوى140م,140,متر²,3,2
3834462,شقة للبيع 155 سيدي بشر (سيدي بشر بحري شارع العيسوي),"1,500,000",سيدي بشر  (سيدي بشر بحري شارع العيسوي ),155,متر²,3,2
3832329,شقة  للبيع  135 م سيدي بشر  (ش خالد بن الوليد - ثاني نمره من البحر),"1,750,000",سيدي بشر  (ش خالد بن الوليد - ثاني نمره من البحر),135,متر²,3,1
3820972,شقق للبيع فى شارع القاهرة,"512,000",Cairo St.، Sidi Beshr Qebli,90,متر²,3,1
4069618,5ش القدس سيدي بشر قبلي خلف شارع 62,"280,000",القدس سيدي بشر,100,متر²,3,1
3958307,لاغراض سكنية شقة للبيع في سيدي بشر الحي بحري السكة الحديد,"1,250,000",برج اليجانت تاور ش يوسف السباعى متفرع من ملك حفنى سيدى بشر بحرى السكة الحديد,125,متر²,3,2
4022312,للبيع شقه بشارع خالد ابن الوليد بجوار كباب حمدي وأمام عصير ابو فارس مباشره,"650,000",شارع خالد بن الوليد، سيدي بشر بحري,65,متر²,2,1
4029986,شقة لقطة للبيع في سيدي بشر بحري,"1,400,000",Gamal Abd El Nasir St، Sidi Beshr Bahri,170,متر²,3,1
3886244,شقه للبيع ١٥٠ م صافي سيدي بشر الترام قريبه جدا من البحر,"1,600,000",شارع خالد بن الوليد، سيدي بشر بحري,150,متر²,3,1
4030514,شقة لقطة للبيع بشارع القاهرة العمومى,"750,000",شارع القاهرة سيدى بشر قبلى,115,متر²,3,2
3932655,شارع العيسوي امام اليكس سكان,"1,350,000",شارع محمود العيسوي، سيدي بشر بحري,145,متر²,3,1
3839280,سيدي بشر,"800,000",شارع القاهرة، سيدي بشر قبلي,120,متر²,5,1
3903091,للبيع - شقق 150 متر² سوبر لوكس,"1,500,000",شارع خالد بن الوليد، سيدي بشر بحري,150,متر²,3,1
3991368,شقه مرخصه مع حصه في الارض ش علي هيبه,"900,000",ش علي هيبه 2 نمره من خالد بن الوليد سيدي بشر بحري,100,متر²,2,1
3824331,شقة لهواة الهدوء ترى البحر بوضوح شارع الطفولة السعيدة الدور  18 وليس الاخير,"1,850,000",شارع خالد بن الوليد، سيدي بشر بحري,125,متر²,1,1
3903088,شقة على البحر بسيدي بشر,"1,750,000",490 طريق الجيش امام شاطئ ابو هيف مباشرة,120,متر²,2,2
3815538,شقه للبيع,"1,200,000",عمارات طابيه سيدي بشر حلف المحروسه,96,متر²,2,1
3902437,شقق لوكس للبيع فى طريق الجيش,"1,450,000",طريق الجيش، سيدي بشر,150,متر²,1,1
3877506,شقة تصلح سكنى وإدارى الدور الاول علوى 90 متر,"500,000",تانى نمرة من شارع 30 الؤئيسى سيدى بشر الدور الأول علوى,90,متر²,2,1
3981688,شقه مميزه للبيع,"1,500,000",امام محطة ترام سيدى بشر,200,متر²,4,2
3948650,للبيع 7o mt ‎  شارع 45، سيدي بشر  ‎، الاسكندرية,"380,000",شارع 45، سيدي بشر  ‎، الاسكندرية,70,متر²,1,1
3896613,للبيع - شقق لوكس فى شارع خالد بن الوليد,"550,000",شارع خالد بن الوليد، سيدي بشر بحري,74,متر²,1,1
3970361,شقة  للبيع  150م سيدى بشر   ( ش جمال عبد الناصر  ),"2,000,000",سيدى بشر   ( ش جمال عبد الناصر  ),150,متر²,3,1
3926339,سيدى بشر,"570,000",سيدي بشر قبلى شارع عقل باشا,100,متر²,3,1
3833797,شقة  للبيع  100م سيدي بشر  (ش خالد بن الوليد - ثاني نمره من البحر),"1,000,000",ش خالد بن الوليد - ثاني نمره من البحر,100,متر²,2,1
3927595,شقه للبيع 145م بسيدى بشر متفرع من العيسوى - رخصه,"1,350,000",بسيدى بشر متفرع من العيسوى - رخصه,145,متر²,3,2
3831987,شقة للبيع,"1,100,000",برج الأمراء 96شارع جمال عبد الناصر - سيدى بشر بحرى .,120,متر²,3,1
4060298,شقه سيدي بشر قبلي شارع ابي عبيدة ابن الجراح شارع 1 متفرع من كاستنيا,"350,000",سيدي بشر,75,متر²,3,1
4061788,شقه لقطة للبيع  سيدي بشر قبلي,"550,000",شارع إبراهيم حلمي القادر، سيدي بشر قبلي,120,متر²,3,1
3919883,شارع القاهره سيدي بشر قبلي اول السوق,"650,000",117 شارع القاهره سيدي بشر قبلي,130,متر²,3,2
3896523,شقة للبيع ب سيدى بشر قبلى,"750,000",أرض الفضالي، سيدي بشر قبلي,110,متر²,2,1
3932626,شقة للبيع خامس عماره من البحر شاطى السريا شارع الطفولة السعيده,"1,250,000",طريق الجيش، سيدي بشر,125,متر²,3,1
3911352,شقة للبيع 145 م سيدى بشر (ش خالد ابن الوليد ),"1,500,000",سيدى بشر (ش خالد ابن الوليد ),145,متر²,3,2
4037872,للبيع شقة 85م 3  غرف دور أول علوي متشطبة,"375,000",شارع 9، سيدي بشر قبلي,85,متر²,3,1
3906987,شقة للبيع من المالك مباشرة شارع متفرع من محمد نجيب,"720,000","شارع ملك حفني, سيدي بشر",110,متر²,2,1
4009328,شقه للبيع,"900,000",شارع جلال حماد أمام مستشفي ماري مرقص بالعيسوي  الموازنة لشارع خليل حمادة,165,متر²,3,2
3684934,شارع 64 متفرع من شارع 30 الرئسي,"320,000",شارع الحسين بن علي، سيدي بشر قبلي,65,متر²,2,1
3820183,شقة تشطيب كامل جاهزة للسكن سيدي بشر قبلي 100متر,"600,000",شارع حسن رفعت، سيدي بشر قبلي,100,متر²,2,1
3896525,للبيع - شقق 115 متر² سوبر لوكس,"520,000",أرض الفضالي، سيدي بشر قبلي,115,متر²,1,1
4075830,شقه بسيدي بشر,"850,000",سيدي بشر اول خالد بن الوليد اتجاه السيوف ترام,90,متر²,2,1
3946792,٨٣ خلف أحمد بركات متفرع من خالد بن الوليد خلف كباب حمدي,"450,000",٨٣ خلف أحمد بركات متفرع من خالد بن الوليد خلف كباب حمدي,65,متر²,2,1
3875606,سيدي بشر ش الملك حفني بحري تاني نمره من الشارع الرئيسي,"400,000",شارع جمال عبد الناصر، سيدي بشر بحري,75,متر²,2,1
3687242,شقة تصلح تمويل عقارى,"1,750,000",شارع جمال عبد الناصر، سيدي بشر,137,متر²,3,2
3648735,شقه 135م تشطيب الترا لوكس تحت اشراف هندسي للبيع,"920,000",أرض الفضالي، سيدي بشر قبلي,135,متر²,3,1
3817784,شقة لقطه للبيع سيدي بشر بحري,"300,000",سيدي بشر بحري امام قريه بلبع,100,متر²,3,2
3995449,شقة للبيع بموقع متميز,"295,000",81 ش مسجد الصداقة الاسلامية سيدى بشر قبلى,85,متر²,2,1
4133455,للبيع شقه بالفضالي علي الطوبه,"820,000",الفضالي,130,متر²,3,1
4133238,شقه للبيع أرضى سيدى بشر شارع السلطان,"450,000",سيدى بشر,80,متر²,2,1
4133222,شقة للبيع سيدي بشر بحري,"730,000",سيدي بشر,85,متر²,2,1
4133094,للبيع مساحة 60 م٢ عدد غرفتين وصالة عداد كهرباء - عداد مياه - بدون عداد غاز,"275,000",اسكندريه /سيدي بشر قبلي ش محمد فريد الرئيسي بالقرب من مدرسة البارودي,60,متر²,2,1
4133089,شقة للبيع  110متر غرفتين وريسبشين قطعتين حمام ومطبخ كبير  الدور الثاني عشر,"760,000",اسكندريه / سيدى بشر ريس قبلي السكة شارع عقل باشا ريس 7عمارة من القطار,110,متر²,2,1
4133051,شقه سوبر لوكس للبيع  85 م غرفتين وريسبشن  بالدور الخامس سلم مريح,"550,000",اسكندريه /سيدى بشر بحرى/بتقاطع محمد نجيب مع جمال عبد الناصر ةدقاايق للبحر,85,متر²,2,1
4132882,من المالك شقة ١٠٠ م ٢ نمرة من العيسوى الرئيسي شارع ٥٧,"1,300,000",الاسكندريه سيدي بشر,100,متر²,2,1
4132771,شقق فى أرض الفضالي 130 متر² بدون تشطيب للبيع,"820,000",الاسكندريه سيدى بشر قبلى ارض الفضالي شارع ٢٤ مباشر,130,متر²,2,1
4132706,شقة ١٦٠ م لقطه وبأفضل سعر في شارع الطفوله السعيده البيع بالعفش او بدون,"1,750,000",الاسكندريه سيدي بشر,160,متر²,3,1
4132700,شقة ١٥٠ متر عمومى جمال عبد الناصر محمد نجيب الدور العاشر,"1,650,000",الاسكندريه سيدي بشر,150,متر²,3,2
4132693,شقة مميزة ومرخصة-ش جلال حماد متفرع من جمال عبد الناصر-موازي خليل حمادة,"770,000",الاسكندريه سيدي بشر,85,متر²,2,1
4132185,شقه للبيع سوبر لوكس,"950,000",اسكندريه سيدي بشر,110,متر²,3,1
4132167,شقه لقطه للبيع,"2,685,000",اسكندريه سيدي بشر,110,متر²,2,1
4133324,شقه فى سيدى بشر خطوات من البحر,"1,350,000",الاسكندريه سيدي بشر,110,متر²,2,1
4130871,شقه للبيع سيدي بشر الترام,"980,000",سيدي بشر,100,متر²,2,1
4130856,شقه للبيع سيدي بشر الترام - ش زينة,"1,500,000",سيدي بشر,150,متر²,3,2
4131657,شقه للبيع  بشارع محمد نجيب الرئيسي,"1,950,000",سيدي بشر,135,متر²,3,1
